"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	2.7118758750334	0.878	0.061	0	"0"	"Ebf1"
"2"	0	2.53751479032285	0.858	0.156	0	"0"	"Cd79a"
"3"	0	2.24285278790779	0.826	0.165	0	"0"	"H2-DMb2"
"4"	0	2.17921784512604	0.634	0.141	0	"0"	"Cd79b"
"5"	0	1.77405775399666	0.406	0.012	0	"0"	"Fcmr"
"6"	0	0.750779827741527	0.996	0.982	0	"0"	"Rps19"
"7"	0	0.663030859257581	0.998	0.989	0	"0"	"Rpl18a"
"8"	8.6575512982199e-308	0.647936156137658	0.991	0.979	1.33923661032164e-303	"0"	"Rps24"
"9"	6.14048601465257e-307	0.697049737981301	0.993	0.968	9.49871781606606e-303	"0"	"Rps15a"
"10"	4.46402108774366e-302	0.703384368975916	0.989	0.972	6.90539422063066e-298	"0"	"Rps20"
"11"	5.18108478625319e-299	1.56754680910737	0.376	0.032	8.01462005585506e-295	"0"	"Fcrla"
"12"	2.73404661137883e-289	1.57967573215169	0.664	0.226	4.22929670314191e-285	"0"	"Cd37"
"13"	2.89123158227538e-279	1.60862381625792	0.585	0.142	4.47244613462179e-275	"0"	"Ly6d"
"14"	9.82318598557755e-272	0.981794217153849	0.921	0.805	1.51954864010899e-267	"0"	"Rps27"
"15"	3.59888070748272e-271	0.768493549690353	0.972	0.909	5.56710856640501e-267	"0"	"Rpl12"
"16"	1.62239681592785e-245	1.57331391034463	0.454	0.094	2.5096856345588e-241	"0"	"H2-Ob"
"17"	1.07183813097255e-238	0.973538370751932	0.909	0.701	1.65802640480144e-234	"0"	"Ly6e"
"18"	8.90586636604687e-215	0.65109864928637	0.968	0.912	1.37764846816379e-210	"0"	"Rpl4"
"19"	1.31530443327794e-174	1.19964100332535	0.26	0.029	2.03464442783765e-170	"0"	"Lamb3"
"20"	4.34941404933972e-169	1.37664427088114	0.436	0.126	6.72810859292361e-165	"0"	"Ptprcap"
"21"	2.35072356190759e-166	1.10550152731721	0.7	0.429	3.63633427791485e-162	"0"	"Shisa5"
"22"	7.0136925807416e-166	1.31074707585278	0.405	0.099	1.08494810531492e-161	"0"	"Ltb"
"23"	1.79716450286509e-147	1.26140679209953	0.347	0.085	2.78003376948201e-143	"0"	"H2-Oa"
"24"	8.00999124050829e-137	0.687627649493822	0.522	0.187	1.23906554499423e-132	"0"	"Iglc2"
"25"	2.64657951546773e-133	1.410491288199	0.441	0.174	4.09399385247702e-129	"0"	"Mef2c"
"26"	1.92515398741087e-129	1.0895791129669	0.338	0.086	2.97802070312588e-125	"0"	"Satb1"
"27"	2.90244881386129e-122	1.26795710614339	0.401	0.145	4.48979807016203e-118	"0"	"Ighm"
"28"	2.06011327695104e-119	1.14350568436949	0.517	0.254	3.18678922811556e-115	"0"	"Limd2"
"29"	6.67204311714527e-95	1.02063799647044	0.508	0.278	1.0320983497912e-90	"0"	"Rel"
"30"	3.20230750763248e-93	1.02298954633813	0.362	0.139	4.95364948355668e-89	"0"	"Cd72"
"31"	1.39250310316058e-89	0.852821952796166	0.53	0.283	2.15406305027909e-85	"0"	"Plac8"
"32"	2.49801637447405e-83	1.0996889217296	0.467	0.276	3.86418152967391e-79	"0"	"Hmgn1"
"33"	4.87405462791827e-68	1.04227144569312	0.384	0.204	7.53967510392677e-64	"0"	"Mif4gd"
"34"	5.71733150830742e-67	0.864080805436879	0.543	0.413	8.84414011020075e-63	"0"	"Rps27rt"
"35"	1.18113895261856e-54	0.821901720916082	0.53	0.428	1.82710384580565e-50	"0"	"Serp1"
"36"	5.61921840837594e-53	0.751449970885209	0.386	0.209	8.69236895591675e-49	"0"	"Il21r"
"37"	6.02532931691158e-53	0.804580650934339	0.327	0.158	9.32058192033052e-49	"0"	"Gimap6"
"38"	2.41714814547505e-50	0.944388237590744	0.399	0.259	3.73908646623536e-46	"0"	"Kras"
"39"	6.55987423701157e-44	0.701920458943539	0.274	0.127	1.01474694572332e-39	"0"	"Ets1"
"40"	7.77843405447694e-42	0.918406174617124	0.401	0.285	1.20324596388704e-37	"0"	"Pold4"
"41"	1.07991254483379e-38	0.752944426838877	0.304	0.169	1.67051671560339e-34	"0"	"Napsa"
"42"	3.81432433551802e-37	0.918741129010269	0.375	0.263	5.90037831461283e-33	"0"	"Foxp1"
"43"	6.36121652858699e-29	0.729547012654132	0.458	0.387	9.84016584807121e-25	"0"	"Syngr2"
"44"	7.09110012066635e-27	0.735879772102062	0.407	0.337	1.09692227766588e-22	"0"	"Ppp1r11"
"45"	3.24921340116343e-25	0.709358262041444	0.266	0.167	5.02620821025971e-21	"0"	"Cirbp"
"46"	1.38475298614072e-24	0.751923944403613	0.287	0.188	2.14207439426107e-20	"0"	"Stk17b"
"47"	1.37097360449834e-17	0.694013083052604	0.326	0.267	2.12075906879848e-13	"0"	"Smim14"
"48"	9.66969787462701e-14	0.753440433318733	0.254	0.194	1.49580556422605e-09	"0"	"Smc6"
"49"	1.69157904737759e-12	0.695999763933609	0.305	0.27	2.61670362838839e-08	"0"	"Pkig"
"50"	7.69078606704243e-09	0.682993946770341	0.264	0.236	0.000118968769671079	"0"	"Ppdpf"
"51"	1.26111606371469e-303	2.09239078126589	0.738	0.173	1.95082043896026e-299	"1"	"Il1b"
